Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2023-08-29,773.976318359375,775.1200179106506,769.669102242421,773.6842594017068,35538932
2023-08-30,768.3307495117188,780.6195643753474,765.8973208258516,780.6195643753474,28084204
2023-08-31,764.80224609375,770.4965046276685,760.7384322394234,768.4767470204652,100075772
2023-09-01,766.384033203125,768.4768057096691,758.9134187598048,764.5833196769412,43226776
2023-09-04,771.1779174804688,774.5360015777221,766.4813881806992,773.8303310146484,25073638
2023-09-05,766.4813842773438,773.0516417713671,764.38861183011,773.0516417713671,38712082
2023-09-06,776.507080078125,778.6971658570981,766.4813659496907,767.4060807161218,56320910
2023-09-07,783.9777221679688,785.510794150052,772.4432937501639,776.5071078478363,34208342
2023-09-08,790.0856323242188,794.7091467964383,782.3959739643648,782.7366896240351,34502210
2023-09-11,794.173828125,796.4612273788786,790.3776555229446,792.762427572447,31573022
2023-09-12,796.6558837890625,799.5759981707856,790.8886697671352,798.164597670977,39033340
2023-09-13,800.062744140625,803.8102007820438,792.61642814262,793.9305153592652,46420094
2023-09-14,799.5760498046875,803.0315068308923,795.7798770993519,800.2330637010272,23538848
2023-09-15,808.7500610351562,812.7652185519548,803.0315033597159,803.0315033597159,173411202
2023-09-18,792.8353881835938,805.464858730247,791.399629677695,804.8565015861909,37056288
2023-09-20,761.0304565429688,778.2104866731253,759.4244292708094,778.2104866731253,115474648
2023-09-21,755.9933471679688,763.5856334809762,748.0604045717047,755.8230190263404,72841442
2023-09-22,744.4588623046875,761.3711919566923,741.5874045249608,758.7430770496563,61704250
2023-09-25,745.1158447265625,749.8366724935371,742.195730377536,742.195730377536,40208754
2023-09-26,748.352294921875,749.4959944600172,742.1957087996923,742.1957087996923,27575308
2023-09-27,743.0960693359375,745.8458554975613,737.3288555163493,741.2223412220462,39338538
2023-09-28,741.5630493164062,748.3279930851168,738.9592924506106,746.5759362770035,55354188
2023-09-29,742.8284301757812,747.2815569377753,740.8816873168103,741.5629997895483,32053782
2023-10-03,733.9464111328125,743.1690816035621,732.9486816600946,743.1690816035621,38971694
2023-10-04,744.41015625,747.0625696224938,724.7966982477518,727.5951410981291,54649430
2023-10-05,747.4276123046875,755.1172706279191,745.8945403681716,747.0869560565192,48512674
2023-10-06,746.600341796875,751.9295273041055,744.5562258825445,751.4428415259151,17759356
2023-10-09,737.937255859375,744.6291848078113,735.8688414571311,743.6558133244023,16454972
2023-10-10,742.1227416992188,744.1424994102023,737.426212407623,740.0300286548502,33266292
2023-10-11,749.3013305664062,750.5424029295025,743.8991308991633,744.6778161774354,31333360
2023-10-12,754.2898559570312,755.3362421435227,745.4078415117224,747.5979272653602,22025336
