Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,Daily_Change,Daily_Return,Day_Range,Day_of_Week,Target_Price,Target_Direction
2023-07-03,1167.741194264735,1196.9341777415286,1166.5086096788432,1194.0582275390625,12154387.0,1158.3556640625,1159.9990234375,1153.431170654297,26.317033274327514,2.5664134100495506,30.425568062685443,0,1181.7557373046875,0
2023-07-04,1198.3037415268395,1198.3037415268395,1174.6799673322105,1181.7557373046875,8061643.0,1166.8647705078124,1161.685791015625,1155.9761474609375,-16.54800422215203,-1.0303090712527663,23.62377419462905,1,1179.8155517578125,0
2023-07-05,1190.9997357239995,1190.9997357239995,1175.8440646341217,1179.8155517578125,10248062.0,1174.903662109375,1162.9365966796875,1158.3761779785157,-11.184183966186993,-0.16417822106792324,15.155671089877842,2,1204.5804443359375,1
2023-07-06,1175.958111582341,1207.1824197013011,1175.958111582341,1204.5804443359375,19117987.0,1184.8781005859375,1166.335205078125,1161.5853454589844,28.622332753596538,2.099047816519084,31.224308118960153,3,1202.2294921875,0
2023-07-07,1202.8686056265724,1216.5406584496827,1199.6730384312104,1202.2294921875,13375267.0,1192.487890625,1170.8134399414062,1164.6427307128906,-0.6391134390723892,-0.19516771665121224,16.86762001847228,4,1248.541015625,1
2023-07-10,1227.4736968882496,1258.1046546175523,1221.1284462814797,1248.541015625,33240016.0,1203.3844482421875,1180.8700561523438,1170.4196899414062,21.067318736750394,3.8521366959010983,36.97620833607266,0,1262.076171875,1
2023-07-11,1256.6895309307056,1264.4955779542368,1249.705166712445,1262.076171875,20069348.0,1219.44853515625,1193.1566528320313,1176.823193359375,5.386640944294413,1.0840778220829517,14.790411241791844,1,1263.468505859375,1
2023-07-12,1262.806571231475,1279.103541836806,1260.683840337917,1263.468505859375,18733835.0,1236.1791259765625,1205.5413940429687,1182.458642578125,0.6619346279001093,0.11032091528251353,18.419701498889026,2,1252.170166015625,0
2023-07-13,1270.8408996155135,1277.733978890264,1249.545369524751,1252.170166015625,14682934.0,1245.6970703125,1215.2875854492188,1186.8216064453125,-18.670733599888536,-0.8942320122229841,28.188609365513003,3,1251.1202392578125,0
2023-07-14,1255.365580017741,1260.3414396091937,1243.9988277461352,1251.1202392578125,15124144.0,1255.4752197265625,1223.9815551757813,1191.1161010742187,-4.245340759928467,-0.08384856837416743,16.342611863058437,4,1276.6842041015625,1
